发布部门,标题,发布时间,通知URL,是否有附件,附件信息,下载次数参数
计划科,关于2024-2025学年第二学期修读辅修专业学生名单的公示,发布时间：2024-12-02,https://jwch.fzu.edu.cn//../info/1038/13777.htm,无,无,无
实践科,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,发布时间：2024-11-29,https://jwch.fzu.edu.cn//../info/1039/13773.htm,无,无,无
实践科,关于组织申报2024年高校双碳实践育人案例的通知,发布时间：2024-11-28,https://jwch.fzu.edu.cn//../info/1039/13772.htm,有,附件：中国高等教育学会碳中和与清洁能源教育专业委员会关于开展 2024 年高校双碳实践育人案例征集的通知.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15637409),"wbfileid=15637409,owner=1744984858"
质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,发布时间：2024-11-26,https://jwch.fzu.edu.cn//../info/1040/13769.htm,无,无,无
质量办,关于举办福州大学第六十场“教学有道”研讨活动的通知,发布时间：2024-11-25,https://jwch.fzu.edu.cn//../info/1040/13768.htm,无,无,无
教学运行,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,发布时间：2024-11-22,https://jwch.fzu.edu.cn//../info/1036/13766.htm,有,2401制图E期末考-12.8上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15635768),"wbfileid=15635768,owner=1744984858"
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,发布时间：2024-11-22,https://jwch.fzu.edu.cn//../info/1036/13765.htm,有,2401高等数学A下期末考-12.1上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15635767),"wbfileid=15635767,owner=1744984858"
教材中心,关于开展2024年本科数字教材建设立项工作的通知,发布时间：2024-11-21,https://jwch.fzu.edu.cn//../info/1042/13763.htm,有,附件1.福州大学本科数字教材建设立项申报表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573426); 附件2.福州大学本科数字教材建设立项申报汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573427); 附件3.福州大学本科教材编写人员政治审查表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573428),"wbfileid=15573426,owner=1744984858; wbfileid=15573427,owner=1744984858; wbfileid=15573428,owner=1744984858"
实践科,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,发布时间：2024-11-19,https://jwch.fzu.edu.cn//../info/1039/13761.htm,有,附件1：获省赛参赛资格名单.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15572980),"wbfileid=15572980,owner=1744984858"
教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,发布时间：2024-11-15,https://jwch.fzu.edu.cn//../info/1042/13760.htm,有,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年08月，共计117种）.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571692); 附件2：全国大中专教学用书目录(2025春)(1).xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571693),"wbfileid=15571692,owner=1744984858; wbfileid=15571693,owner=1744984858"
综合科,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,发布时间：2024-11-15,https://jwch.fzu.edu.cn//../info/1035/13759.htm,无,无,无
质量办,关于举办福州大学第五十九场“教学有道” 研讨活动的通知,发布时间：2024-11-14,https://jwch.fzu.edu.cn//../info/1040/13758.htm,无,无,无
实践科,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,发布时间：2024-11-13,https://jwch.fzu.edu.cn//../info/1039/13754.htm,有,附件1：2024年福州大学第十八届本科生数学建模竞赛获奖名单.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571132),"wbfileid=15571132,owner=1744984858"
教学运行,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,发布时间：2024-11-12,https://jwch.fzu.edu.cn//../info/1036/13752.htm,有,2401习概随堂考.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15565434),"wbfileid=15565434,owner=1744984858"
计划科,关于组织申报2024-2025学年第二学期通识教育选修课的通知,发布时间：2024-11-11,https://jwch.fzu.edu.cn//../info/1038/13750.htm,无,无,无
教材中心,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,发布时间：2024-11-11,https://jwch.fzu.edu.cn//../info/1042/13749.htm,无,无,无
教学运行,关于公布2024学年各学院转专业实施细则的通知,发布时间：2024-11-08,https://jwch.fzu.edu.cn//../info/1036/13748.htm,有,2024各学院转专业细则.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14924468),"wbfileid=14924468,owner=1744984858"
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,发布时间：2024-11-07,https://jwch.fzu.edu.cn//../info/1036/13746.htm,有,2401线性代数、线性代数与解析几何半期考11.24上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14923476),"wbfileid=14923476,owner=1744984858"
教研教改,关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,发布时间：2024-11-05,https://jwch.fzu.edu.cn//../info/1037/13743.htm,无,无,无
计划科,关于2024-2025学年第一学期在校学生申请辅修专业的通知,发布时间：2024-11-01,https://jwch.fzu.edu.cn//../info/1038/13741.htm,无,无,无
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,发布时间：2024-10-29,https://jwch.fzu.edu.cn//../info/1036/13739.htm,有,2401高等数学A（上）、B（上）、C（上）、D半期考11.17上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920804),"wbfileid=14920804,owner=1744984858"
质量办,关于期中党政领导集中听课的通知,发布时间：2024-10-28,https://jwch.fzu.edu.cn//../info/1040/13738.htm,有,附件1：福州大学课堂教学质量评估表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920325); 附件2：福州大学课堂教学质量评估表（思政课）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920326); 附件3：第10-11周课表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920327); 附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920328),"wbfileid=14920325,owner=1744984858; wbfileid=14920326,owner=1744984858; wbfileid=14920327,owner=1744984858; wbfileid=14920328,owner=1744984858"
教学运行,关于做好2024学年本科生转专业工作的通知,发布时间：2024-10-23,https://jwch.fzu.edu.cn//../info/1036/13733.htm,无,无,无
教材中心,关于进一步加强马克思主义理论研究和建设工程重点教材选用工作的通知,发布时间：2024-10-21,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13729,有,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月）.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918680),"wbfileid=14918680,owner=1744984858"
质量办,关于举办2024年教师教学创新大赛培训会暨第五十七场“教学有道”研讨活动的通知,发布时间：2024-10-21,https://jwch.fzu.edu.cn//../info/1040/13728.htm,无,无,无
教学运行,关于做好2025届预计毕业生电子注册图像采集工作的通知,发布时间：2024-10-21,https://jwch.fzu.edu.cn//../info/1036/13727.htm,有,附件3：获得图像采集码途径.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918535); 附件2：各学院分班拍照顺序.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918534); 附件1：拍照地点示意图.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918533),"wbfileid=14918535,owner=1744984858; wbfileid=14918534,owner=1744984858; wbfileid=14918533,owner=1744984858"
教学运行,关于2024-2025学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,发布时间：2024-10-18,https://jwch.fzu.edu.cn//../info/1036/13725.htm,有,2401大物A（下）、B（下）半期考11.2上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918114),"wbfileid=14918114,owner=1744984858"
质量办,关于2024年新上岗教师教学达标培训班教师配备导师的通知,发布时间：2024-10-16,https://jwch.fzu.edu.cn//../info/1040/13723.htm,有,附件：2024年福州大学新上岗教师达标培训班名单（配导师）.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14917430),"wbfileid=14917430,owner=1744984858"
质量办,诚邀2019届毕业生参与培养目标达成和职业发展问卷调研,发布时间：2024-10-15,https://jwch.fzu.edu.cn//../info/1040/13721.htm,无,无,无
实践科,关于举办第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,发布时间：2024-10-15,https://jwch.fzu.edu.cn//../info/1039/13720.htm,无,无,无
质量办,关于举办福州大学第五十六场“教学有道”研讨活动的通知,发布时间：2024-10-15,https://jwch.fzu.edu.cn//../info/1040/13719.htm,无,无,无
计划科,关于全校性通识教育选修课《爱课程：管理沟通》学习的重要提示,发布时间：2024-10-14,https://jwch.fzu.edu.cn//../info/1038/13717.htm,无,无,无
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程半期考试安排的通知,发布时间：2024-10-12,https://jwch.fzu.edu.cn//../info/1036/13716.htm,有,2401概率论半期考10.27下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14914281),"wbfileid=14914281,owner=1744984858"
教学运行,关于填报课程学生出勤率信息的通知,发布时间：2024-10-11,https://jwch.fzu.edu.cn//../info/1036/13715.htm,无,无,无
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程半期考试安排的通知,发布时间：2024-09-30,https://jwch.fzu.edu.cn//../info/1036/13705.htm,有,2401高等数学A（下）半期考10.13上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911585),"wbfileid=14911585,owner=1744984858"
实践科,关于2024年高校教学基本状态数据库教学相关数据报送的通知,发布时间：2024-09-29,https://jwch.fzu.edu.cn//../info/1039/13704.htm,有,2024年本科教学相关数据报送表格.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911306),"wbfileid=14911306,owner=1744984858"
质量办,关于开展福州大学2024年教师教学创新大赛的通知,发布时间：2024-09-29,https://jwch.fzu.edu.cn//../info/1040/13703.htm,有,附件.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911304),"wbfileid=14911304,owner=1744984858"
教学运行,关于组织2024级新生开展学籍信息自查工作的通知,发布时间：2024-09-27,https://jwch.fzu.edu.cn//../info/1036/13701.htm,无,无,无
实践科,关于举办2024年福州大学大学生工程实践与创新能力大赛暨2024年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,发布时间：2024-09-27,https://jwch.fzu.edu.cn//../info/1039/13700.htm,有,附件1：组委会成员名单.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910724); 附件2：报名表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910719); 附件3：命题与运行.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910725),"wbfileid=14910724,owner=1744984858; wbfileid=14910719,owner=1744984858; wbfileid=14910725,owner=1744984858"
教材中心,关于举办福州大学第五十五场“教学有道”研讨活动的通知,发布时间：2024-09-25,https://jwch.fzu.edu.cn//../info/1042/13697.htm,无,无,无
教学运行,关于2024年国庆节放假课程调整的通知,发布时间：2024-09-24,https://jwch.fzu.edu.cn//../info/1036/13696.htm,无,无,无
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,发布时间：2024-09-23,https://jwch.fzu.edu.cn//../info/1038/13695.htm,有,2024年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14909706),"wbfileid=14909706,owner=1744984858"
计划科,关于组织2024级学生参加《大学生国家安全教育》课程学习的通知,发布时间：2024-09-23,https://jwch.fzu.edu.cn//../info/1038/13693.htm,有,超星尔雅使用手册（学生版）.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14909664),"wbfileid=14909664,owner=1744984858"
计划科,关于公布《大学生国家安全教育》课程实施方案的通知,发布时间：2024-09-23,https://jwch.fzu.edu.cn//../info/1038/13692.htm,无,无,无
质量办,关于开展思政课教学专项检查的通知,发布时间：2024-09-20,https://jwch.fzu.edu.cn//../info/1040/13689.htm,无,无,无
教学运行,关于2024-2025学年第一学期2024级体育理论教室安排的通知,发布时间：2024-09-20,https://jwch.fzu.edu.cn//../info/1036/13688.htm,无,无,无
质量办,福州大学关于成立思政课教学指导组的通知,发布时间：2024-09-20,https://jwch.fzu.edu.cn//../info/1040/13687.htm,无,无,无
