programName,difficulty,techTag,Introduce,OutputRequirements
为 Arthas 实现 JFR 解析和前端UI库,基础,"[[""dev"",""AIOps""],[""web"",""React""],[""web"",""RESTful API""]]",JFR 是 JDK 里非常重要的性能分析工具，它生成的结果文件需要解析展示出来。期望可以使用 React 并基于 Ant Design 组件库实现解析展示。参考链接,1. 在Server端使用 JDK 的 JFR API解析 .jfr 文件，提供 RESTful API2. 在前端以火焰图方式展示分析结果3. 需要支持 CPU Time/Allocated Memory/File IO Time/File Read Size/Exception 等常见 Event 的分析展示
k8s任务与k8s集群链接优化,基础/Basic,"[[""cloudnative"",""Kubernetes""]]",目前DolphinScheduler中的worker在接受到master下发的k8s任务运行指令时会根据k8s的信息创建一个k8s链接，通过该链接与k8s集群之间保持联系。但当任务并发量大时，k8s集群要为每一个k8s任务维护一个链接，现有方案会造成信息同步效率差甚至与k8s集群失联。本课题针对该问题提出优化方案，为一个DolphinScheduler的worker节点创建一个链接池（考虑会有多个k8s集群的情况，一个k8s集群一个链接），为每一个k8s集群创建一个公用链接，该worker中所有k8s节点通过链接池中的链接与k8s集群交互。该方案可以减少k8s对链接维护的成本，可以提高k8s任务类型并发量，提高状态同步效率。,1. 完善k8s任务 e2e测试2. 完成k8s链接池部分unitTest测试3. 本地测试阶段，完成k8s任务并行验证
Apache ShardingSphere: 增强 SQL Server SQL 解析引擎，适配更多 DDL、DML 语句,基础,"[[""datas"",""MySQL""]]",背景:Apache ShardingSphere 是一款分布式数据库生态系统。目前，ShardingSphere 对 SQL Server 的 SQL 解析支持仍存在局限性，部分复杂 DDL（数据定义语言）和 DML（数据操作语言）语法无法被准确解析，导致用户在分片、读写分离、数据加密等场景中无法充分利用 SQL Server 的功能。此任务的目标是提升 ShardingSphere SQL 解析引擎对 SQL Server 的 SQL 支持度，提升对 SQL Server 的生态兼容性，满足用户需求。任务:参考 SQL Server 语法文档：https://learn.microsoft.com/zh-cn/sql/t-sql/language-reference，适配常用的 DDL 和 DML 语句，并补充对应的测试用例。相关任务如下：,1. Apache ShardingSphere 目前已经对 SQL Server 进行了初步适配，支持通过 JDBC 连接底层存储，实现数据加密、数据脱敏等增强功能。为了提升对 SQL Server 语句的支持度，需要增强 Apache ShardingSphere 内部的 SQL Server 解析引擎，适配更多的 DDL、DML 语句，并且增加  SQL Server 自动化测试程序，保证数据加密和数据脱敏功能可用。
ArceBoot引导程序设计,进阶,"[[""os"",""RISC-V""]]",ArceBoot是基于ArceOS组件生态设计的轻量级引导程序，旨在通过模块化方式实现内核启动能力。项目聚焦UEFI实现路径，与ArceOS组件深度集成，利用ArceOS的驱动、文件系统等组件，减少重复开发并构建一个安全、高效的引导程序，支持从存储介质加载内核并跳转执行，ArceBoot引导程序的实现也可以同时丰富ArceOS的组件生态。ArceBoot引导程序设计项目的主要目标是：基于ArceOS的驱动组件（axdriver）和文件系统组件（axfs），实现引导介质的探测与内核文件（/EFI/BOOT/*.EFI）的加载，解析PE/COFF格式的内核文件，将其加载到内存，并通过UEFI标准接口跳转执行，以达成启动内核的目的。若ArceBoot引导程序实现时，其依赖的ArceOS组件仍不完善，为ArceOS提交的合并请求也计入本项目的贡献中。,1. 完成ArceBoot的UEFI引导程序实现，支持在QEMU或者真实硬件上加载并启动内核。2. 提供完整的构建与使用文档，包括示例配置和跨平台测试指南。
Apache HertzBeat 日志监控能力,进阶/Advanced,"[[""web"",""Angular""],[""web"",""Spring Boot""]]",Apache HertzBeat 是一个开源的实时监控系统，专注于提供高效、灵活的监控解决方案。它支持多种数据源的监控，广泛应用于云原生环境下的运维场景。然而，随着用户对日志监控需求的增加，本项目需要开发一个 日志监控模块，以增强 HertzBeat 在日志监控领域的功能覆盖。本项目的核心目标是构建一个轻量级的日志监控模块，为用户提供从日志采集、存储到查询展示的完整解决方案。具体而言，项目将实现以下关键能力：该项目的实施将显著提升 HertzBeat 在日志监控领域的竞争力，同时为开发者和运维人员提供更加便捷的日志管理工具，助力企业在复杂分布式系统中的故障排查与性能优化。,"1. 设计日志上报接入层,支持 OpenTelemetry sdk上报，Kafka消息流收集，FileBeat上报等消息中间件收集日志2. 统一的日志存储3. 友好的日志查询分析界面4. 统一的日志阈值规则5. 测试代码覆盖"
实现 dynamic-tp 的自建管理端功能,进阶,"[[""web"",""Spring Cloud""],[""web"",""Spring Boot""]]",dynamic-tp 是一款轻量级 java 动态线程池增强框架，内置监控告警功能，集成常用三方中间件线程池管理，目前 dynamic-tp 主要是基于配置中心实现的。自开源以来，有不少用户问过有没有做管理端的打算，因为不是所有公司都有搭建配置中心，也不是所有用户都习惯配置中心的弱交互操作。dynamic-tp 作为最基础的组件，应该是尽可能满足各类用户的需求，自建管理端能使 dynamic-tp 真正成为一站式线程池管理框架。,1. server 端采用 springboot3 构建，实现权限管理、首页大盘、线程池管理、告警渠道管理、日志管理等。2. 前端采用 soybean-admin 框架进行搭建。3. 跟 server 交互的 client 最好是以单独包存在，不要过多的侵入现有配置中心代码。4. 保证测试质量，无明显 bug。5. 支持 docker 快速部署。
dora-rs 样例开发和改进文档,基础/Basic,"[[""codelang"",""Programming Language""],[""os"",""Linux""],[""os"",""Ubuntu""],[""os"",""ARM""],[""os"",""Clang""]]",目前，dora - rs 生态系统中中文内容匮乏，代码使用样例稀缺，给社区开发者带来诸多不便，阻碍了技术的推广应用。本项目旨在解决这些问题，全面开发并丰富 dora 示例，涵盖 Rust、C++ 和 Python 语言开发。针对每种语言精心制作一系列详细代码样例，并配套编写逐步指导文档，阐述代码逻辑与预期效果，同时打造 Read the Docs 风格文档，方便开发者快速查阅信息。此外，还将制作 B 站系列视频，以直观方式引导开发者使用示例。项目内容会同步更新中英文版本，最终确保所有示例均经过测试，并配有包含安装、配置及代码运行等方面的完整文档指南，提升 dora - rs 对社区开发者的易用性，促进社区的参与和创新。,1. 开发工作
基于 Rust 的 RROS 实时与非实时代码分离与优化,进阶/Advanced,"[[""os"",""RTOS""]]",本项目旨在通过将实时与非实时代码在 RROS 操作系统中进行分离，以提高系统的实时性能和安全性。利用 Rust 强大的类型系统来实现内存安全、并发安全和高效的资源管理，特别适用于需要高安全性和高性能的系统。分离实时与非实时代码将有效提升系统的资源管理、错误防止以及并发控制能力，为构建下一代高可靠的实时系统提供理想的技术基础。项目将通过以下几个关键步骤进行：通过本项目，旨在为高实时性要求的应用（如自动驾驶、工业控制等）提供更高效、更安全、更易维护的操作系统平台。,1. 实时与非实时代码分离：成功在 RROS 操作系统中实现实时与非实时代码的分离，确保两者之间互不干扰并且能够独立运行。
Sermant动态配置能力增强——支持Apollo配置中心,进阶,"[[""cloudnative"",""Cloud Native""]]",1. 项目背景Sermant作为云原生无代理服务网格框架，其核心能力依赖于动态配置的实时下发与生效。目前Sermant已支持Nacos、Zookeeper、Kie，但在实际企业场景中，携程开源的Apollo配置中心因高可用性、灰度发布、权限管理等特性被广泛使用。当前Sermant对Apollo的适配尚未完善，导致用户需自行开发适配逻辑，存在以下痛点：- 企业用户迁移成本高：使用Apollo的企业需改造现有配置体系才能接入Sermant，阻碍技术栈统一。- 动态配置能力受限：现有配置中心插件未充分利用Apollo特有的“灰度发布”“配置回滚”等高级特性。2. 已有工作**- 配置中心抽象层：Sermant通过模块抽象了配置监听、数据解析等通用逻辑。- 现有实现：已支持Nacos、Zookeeper、Kie等配置中心，支持配置热更新与动态生效。3. 项目目标完成Sermant动态配置服务对Apollo配置中心的支持,"1. 在Apollo配置中心的特性支持下，实现DynamicConfigService定义的所有接口，使其具备配置监听、下发、删除、更新等操作，从而实现服务治理规则的变更
2. 编写自动化测试用例，覆盖边界场景
3. 通过Benchmark测试验证万级配置项的监听与推送性能，确保生产可用性。 
4. 编写使用说明和文档示例"
BMF DiffusionFlow,进阶/Advanced,"[[""datas"",""AI""],[""datas"",""LLM""]]",BabitMF（BMF）是字节开源的多媒体处理框架，已支持音视频及 AI 算法的模块化调度。本项目将 Stable Diffusion（SD）端到端生成流程，封装为一系列可在 BMF Graph 中以节点化方式调用的 Module，进一步丰富框架在 AIGC 场景下的表现力。,1. 完成 SD 全链路基础 BMF Module 的设计、开发与单元测试，比如  Text Encoder、 Diffusion Scheduler、VAE Decoder 等2. 产出 Text-to-Image、Image-to-Image 两个场景的完整示例3. 实现点击／拖拽式 Graph 编辑器，并能预览生成结果
面向工业制造的具身智能基准测试套件,进阶/Advanced,"[[""cloudnative"",""Kubernetes""],[""datas"",""AI""]]",随着工业制造智能化进程加速以及工业机器人、柔性产线、检测装备持续升级，云边协同成为支撑具身智能系统在复杂生产场景中落地的关键技术。当前工业领域对具身智能服务的需求已从单一任务执行向高精度感知决策、实时动态适应性、跨设备协同控制等方向演进，但通用具身智能基准测试普遍缺乏对工业场景具身特性的针对性评价，本项目基于 KubeEdge-Ianvs 协同人工智能基准测试框架，配套工业场景测试数据集、测试环境和性能指标，构建面向工业制造的行业级具身智能测试能力。,1. 引入具身智能领域工业数据集，按四大类标准化任务分类并重新整理现有数据集：感知（如多视角表面质检）、移动（如料箱搬运、堆拆码垛）、操作（如精密装配、精密插装、多工序柔性总装、多品类柔性装配、卷盘转运、设备入盒包装、混合物品分拣）、复合（如电子设备柔性测试、电力巡检），输出数据集调研报告2. 在KubeEdge-Ianvs中选择至少一种上述场景提供标准化测试套件，包括数据集、测试环境、测试指标，以标准化统一数据格式梳理数据集3. 在KubeEdge-Ianvs中基于标准化测试套件实现具身智能基线算法
