这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
「耗时有点久啊。」王煊自语。如果被外人知道，大概要愤慨，这种速度还嫌慢！原始血战伊始，他正式踏足天级8重天，现在53年过去，他便突	破到天级9重天了。这是一种惊世骇俗的晋升速度！在天级领域，即便是天才，大多数情况下也需要一百年到两百年才能冲关一次。王煊这次吸收四教28部大量道韵，应该比现在还要快，不过他这次分心了，在研究各种法。
乌天，也就是王道，心情十分激动，按照刀伯所说，时间差不多到了，马上就要见到他父亲王御圣了。在他等待时，心中竟有些紧张，怕出什么意外。总体来说，从上一纪后期到现在，生活磨平了他不少楼角，血淋淋的	经历，让他活得较为谨慎了。不然的话，他也就不会有数个在星空中较为有名气的身份了。「来了！」刀伯提醒。这片宇宙边缘区域很荒凉，连星光都非常稀疏，整体是暗淡的，死寂的，前方宇宙深渊间的缝隙在无声的裂开。
刺青宫道场很大，所谓的后山，囊括大片的星空，蒸腾着海量的混沌，那只手掌遮天蔽日，横贯星空，覆盖下来。王御圣面色不变，手中长戟划破时光海，切开深空，和那只大手碰	撞在一起。一刹那，所有的光都熄灭了，陷入了绝对的黑暗中，像是有两只巨兽在深渊中对峙，而后勐然再次发出嘶吼声。深空中，数不尽的星斗似被摇落了。没有最黑暗，只有更黑暗，刺青宫的真圣和王御圣在死寂中数次碰撞，道则交织。
人们只能惊叹，那只狼獾，还有那头牛，胆儿越来越肥了，连这种话都敢说出来？这可真是向死里得罪，不留—点后路。狼獾估摸着，会等来刺	青宫暴风骤雨般的反击，世外之地的那些人会群起而攻之，和他死磕。毕竟，其他三教已经下场了，进行“预热，纸圣殿、归墟、时光天的人对他口诛笔伐，刺青宫自身肯定也要发难。另一边，牛布也有这种觉悟，静待一群黑子入场，和他开仗，它暂时都没搭理抢先发难的三教。
“怪了，这个5星级的逃犯，为何让我生出些许异样之感”王煊眉头深锁。难道是因为当年，他参考过乌天手中那块顶骨的御道纹理，因此有点特殊的感应？他动用超神感应，想更进一步捕捉乌天身上的秘密，他便看到了某种残影，还有对方血肉中无比刺目的光。王煊心惊，这个乌天非常不简单，其体内有至强者	留下的守护之光，在警告与阻挡他的超神感应接近。
伍六极黑发飘舞，眼神澄净，衣袂展动间，有种踏足星月上，不染浊世的空明之感，风采绝世。「我是异人，径直闯进超	凡中心这代青年俊彦的小聚会，大概会落人口实。一会儿我不动声色地将他拎走，很快就能查清根脚。」随着打开心灵枷锁，伍六极的道行越发高深莫测，在异人领域可以横推各路对手，如今强盛到一个极尽，被视为准圣，身份非常高。
冷媚瞠目结舌，又多了一位外甥？而且，他们两个彼此竟然不认识。这里面有什么曲折情节？她都看出神了！王煊也	有点麻，怎么也没有想到，很早以前就认识的乌天，和他有这么近的关系，竟是亲侄子！一时间，他心中难以平静，感慨万千，这是王家的另一条血脉，在不同的大宇宙开枝散叶了。他觉得，自己的父亲一―老王，若是知道这则消息，一定会很欣慰，大王这脉的子嗣，活得很好。
伍六极叹气道“师傅只是想见外孙，喊王道过去，还没轮到王煊呢，你急着找他做什么”冷媚正在赶往36重天的路上，道“师傅思念师姐，会看他外孙的过往，自然就能发现王煊，我提前告诉他一声近期还是不要出来了”伍六极手抚额头，师傅要是知道她这种举动，心情才会更糟糕，愈发坐不住，这黑心小棉袄胳膊向外拐了。王道有些不解，伍六极竟亲自来血色战场观测站了，分开话也就才半年，当舅舅的想他了？片刻后，他了解到要进妖庭，顿时有些紧张，这一天终于还是来了“我小姨哪里去了”她刚才还在，怎么转眼人就没了？他看到，冷媚接了则消息就快速消失，	急匆匆而去。
王煊全领域6破一经展现，在场的人的面色全部变了，即便是伍六极和冷媚亲眼目睹过，现在也难掩惊容。每一次相见，王喧的6破奇景都有所不同，始终在完善中！附近，光海带着模湖的大道旋涡起伏。远方，黑色大雪纷飞，冰封神话，冻结因果命运等。唯有中心处，6破领域的王喧屹立不动，保持永恒不朽，高悬在上	！强大如妖庭真圣，现在也是生生将怒火给憋回去了，眼神不眨，深邃无比，盯着前方的青年看个不停。
“快去看一看吧，师傅捋胳膊挽袖子，要和真圣决战了”伍六极提醒自己的师兄，也就是妖庭真圣白亲子一一梅云飞“什么，他要和谁死磕，不仅梅云飞来了，梅云腾也吓被吓了一跳。很快，这两兄弟便知道了，此决占非彼决战，没事	，不就是去打王御圣吗？只要老爷子高兴就好“真不去劝一劝”伍六极问道“算了，劝解的话，难道让他去打那个小的一一王煊？还是王御圣禁揍”梅云飞暗中回应道。
有	，超级化形违禁物品，在整片超凡世界都属于金字塔最顶端的存在之一，道行深不可测。现在，它最先召集的一小撮御道生灵，同样都大有来头，不是“人物人，就“物人物”等。因为，这些它信得过，在相当古早时期就打过交道…混元神泥体内，因果蚕和命运蝉有权看原本送给王煊的密报，已经得悉外界发生了什么“戚顾死了，练宿命经文，最终自己却难逃被杀的宿命“我的残碎记忆中有点印象了，此经文和宿命蛛有关，居然让人给干掉了，什么勐人做出了这种事情“宿命蛛？元神中模湖的感觉告诉我，其完整体相当的厉害，属于无上生灵“最近，王老六都不在家，跑到哪里去了“慎言”两只圣虫口中的王煊，最近大半年都在访友，行走于各地，舒缓疲惫的心神，为下次冲关积蓄力量。
纸圣殿、归墟、时光天、刺青宫，四教的至高生灵听到这种话语后，脸色都阴沉了下去。他是故意的吧居然在说超凡中心大环境十分糟糕，到处是恶人，充满血与乱。在四位真圣眼中，他才是凶人。偏偏他一脸认真，一本正经，在那里感慨。原始血战原本该结束了，他们准备在十年内终结，现在却出现一头过江龙，此前从未见过。虽然只是短暂的	碰撞，但是他们各自都已中刀，有断臂的，有破相的，还有脑袋被噼裂的，皆血迹斑斑“你们看他像谁”纸圣殿的女真圣虽然曾被斩破相但在血肉恢复后，依旧很冷静，盯着那霸道男子的面孔。
“那是我爹”王御圣声音都发颤了，已踏足最高等精神世界，发现远方战局中的神秘身影“知道是他，有什么好激动的”妖庭真圣回应，说的是实情，真没什么喜悦，一点也不期待“岳父，我们还等什么？杀过去啊”王御圣已经拔出黑色的裁纸刀“急什么，主动去背锅吗？相似的人生路，我不想重复走几次”梅宇空瞥了他一眼，让他冷静。现在是他父亲占据优势的时刻，都开始诛圣了，即将落下惟幕，此时冲过去，承认是同伙吗？王御圣很震撼，数纪未见，他父亲愈发深不可测，转动黑色的大伞，竟只	身一人横击四圣。
残缺的纸张，光芒亿万缕，但却殷红的瘆人，像是有血在滴落，自它出现后，在场真圣的面色就都变了。必杀名单，竟出现在这里！然而，王泽盛的表现也是让他们失神，伸出大手就扇了过去，且没什么好言语，骂骂咧咧“哐的一声，鲜红的必杀名单，还在缓慢临近过程中，便挨了他一巴掌。这	一刻的老王可没留后手，手上至高纹络密密麻麻，真下了狠手“一张破事纸，画得是什么东西，死人脸、狗腰子似的，这么丑恶，还对我带着浓重的恶意”王泽盛说着，一巴掌不解气，紧跟着就又补了一巴掌，打的殷红的符纸剧震，轰鸣不已，赤霞滔天。
雄伟的宫殿中，诸圣的目光虽然没那么明显，但还是有些许异样，不经意间，扫了王泽盛两眼。他早先还曾经抱怨，超凡中心多恶	意，连路过的狗子都敢对他叫唤几声。现在看，另有隐情，他到底都干了什么连又横又硬的机械天狗都对他这么戒备，居然请“无”来干预“这只狗子真他么欠打”老王摸了摸刀柄。超凡界的各路真圣，大多都称呼它为机械圣者，可这霸还真当它是只狗子了。
王煊腹诽，真记仇啊，这都多少年了，还记着呢。他无所谓，打自己的黑棍，在没有露出破绽前，那就让人去说吧。不过，他认为有可能会暴露“姑娘，你们悬空岭是想招婿吗？其实，不一定非要找孙悟空，可以考虑下外人啊”有人说道。显然，这是凌清璇的对头或者是黑闺蜜在搅局“闭嘴”圣蝶蜕变后，躯干长一尺，如同蜈蚣，一对蝶翼色彩斑斓，像是承载着数千只眼睛，照	耀出刺破天穹的光芒。
孔煊、陆仁甲、孙悟空，一个消失，另一个才会走出来，而且，都源自同一座偏殿，谁能不多想“他是不是觉得我们猜不到”但凡在场的超凡者稍微留心，注意	一下细节，都不可能没想法“实在…太嚣张了，他这是看不起我们吗连装都不装了”部分发现真相的人，都觉得辣眼睛，这是直接了当地摊牌了吗？一些超凡者认为，他这是预感到瞒不住了，所以直接摆烂，自暴自弃了“你到底是谁？孔煊，陆仁甲，孙悟空，哪个才是真正的你”有人喊话，真是绷不住了，竟被欺骗这么久。
王煊瞬移，从原地消失，但是千眼娱蝶锁	定了他，如附骨之蛆，跟着他移动多次变换方位。天空中，星海更迭，宇宙沉浮的景象，在那里不断闪灭，让人动容。那对蝶翼宛若能破灭一切阻挡，所过之处，摧枯拉朽，数千只眼睛激射的恐怖光束覆盖天穹，淹没王煊，宛若大雨涝沦，到处都是，躲避不了。刺目的刀光冲霄，以王煊为中心，散发出极其可怕的波动，向外扩张，那是御道纹络的蔓延。
